symbol,pip_size,pip_round,pip_price_%,contractId,lastPrice,bid1,ask1,volume24,amount24,holdVol,lower24Price,high24Price,riseFallRate,riseFallValue,indexPrice,fairPrice,fundingRate,maxBidPrice,minAskPrice,timestamp,riseFallRates,riseFallRatesOfTimezone
VRA_USDT,0.000001,6,0.07474,235,0.001338,0.001337,0.001338,4451726,598074.4808,12277465,0.001285,0.001401,0.0067,9e-06,0.00133,0.001333,0.000281,0.001596,0.001064,1743334332660,"{'zone': 'UTC+8', 'r': 0.0067, 'v': 9e-06, 'r7': -0.145, 'r30': -0.37, 'r90': -0.6708, 'r180': -0.5965, 'r365': -0.8622}","[-0.0022, -0.0183, 0.0067]"
BOME_USDT,0.000001,6,0.07616,552,0.001313,0.001312,0.001313,2434444,3235176.97,3237577,0.001294,0.001359,-0.0186,-2.5e-05,0.001315,0.001314,-4.9e-05,0.001578,0.001052,1743334332534,"{'zone': 'UTC+8', 'r': -0.0186, 'v': -2.5e-05, 'r7': -0.0951, 'r30': -0.2989, 'r90': -0.7925, 'r180': -0.8198, 'r365': -0.898}","[-0.023, -0.0053, -0.0186]"
HYPE_USDT,0.01,2,0.07899,887,12.65,12.65,12.66,7168597,9115275.553,5241845,12.27,13.1,-0.0261,-0.34,12.63,12.65,0.000199,15.15,10.1,1743334332407,"{'zone': 'UTC+8', 'r': -0.0261, 'v': -0.34, 'r7': -0.1988, 'r30': -0.3811, 'r90': -0.5388}","[0.0047, -0.0132, -0.0261]"
USUAL_USDT,0.0001,4,0.08019,879,0.1247,0.1246,0.1247,10745141,1313606.4738,9967420,0.1188,0.1262,0.0138,0.0017,0.1249,0.1248,-0.000111,0.1498,0.0999,1743334332629,"{'zone': 'UTC+8', 'r': 0.0138, 'v': 0.0017, 'r7': -0.1002, 'r30': -0.4438, 'r90': -0.8814}","[0.0032, 0.0221, 0.0138]"
RUNE_USDT,0.001,3,0.08811,242,1.136,1.134,1.135,4032959,4561384.045,2804495,1.108,1.147,0.0088,0.01,1.135,1.134,-5e-05,1.362,0.908,1743334332501,"{'zone': 'UTC+8', 'r': 0.0088, 'v': 0.01, 'r7': -0.0875, 'r30': -0.2044, 'r90': -0.7532, 'r180': -0.7766, 'r365': -0.8713}","[0.0088, 0.0097, 0.0088]"
ZIL_USDT,0.00001,5,0.08811,66,0.01135,0.01134,0.01135,15869894,1773544.8125,7295225,0.01104,0.01146,0.007,8e-05,0.01135,0.01134,-3e-05,0.01362,0.00908,1743334332722,"{'zone': 'UTC+8', 'r': 0.007, 'v': 8e-05, 'r7': -0.0927, 'r30': -0.1727, 'r90': -0.4663, 'r180': -0.2523, 'r365': -0.6892}","[0.0008, 0.0161, 0.007]"
KAIA_USDT,0.0001,4,0.09606,743,0.1041,0.104,0.1041,2592336,2672352.367,474592,0.1012,0.1053,0.0116,0.0012,0.1041,0.1041,5e-05,0.1249,0.0832,1743334332926,"{'zone': 'UTC+8', 'r': 0.0116, 'v': 0.0012, 'r7': -0.0405, 'r30': -0.1764, 'r90': -0.4907}","[0.0057, 0.0156, 0.0116]"
PONKE_USDT,0.0001,4,0.10953,598,0.0914,0.0912,0.0913,906440,820793.545,750180,0.0879,0.0934,-0.0021,-0.0002,0.0914,0.0913,-9.7e-05,0.1096,0.0731,1743334332800,"{'zone': 'UTC+8', 'r': -0.0021, 'v': -0.0002, 'r7': -0.1529, 'r30': -0.3244, 'r90': -0.7118, 'r180': -0.7393}","[-0.0214, 0.0189, -0.0021]"
TST_USDT,0.0001,4,0.14771,1030,0.0678,0.0676,0.0677,6667507,4510191.914,2871672,0.063,0.0709,0.0119,0.0008,0.0676,0.0676,5e-05,0.0811,0.054,1743334332418,"{'zone': 'UTC+8', 'r': 0.0119, 'v': 0.0008, 'r7': 0.021, 'r30': -0.2944}","[-0.0341, 0.0366, 0.0119]"
ZKSYNC_USDT,0.0001,4,0.14903,602,0.0671,0.0669,0.0671,1142609,762790.631,3174392,0.0644,0.0681,0.0075,0.0005,0.067,0.067,-0.00011,0.0804,0.0536,1743334332585,"{'zone': 'UTC+8', 'r': 0.0075, 'v': 0.0005, 'r7': -0.1053, 'r30': -0.3276, 'r90': -0.6468, 'r180': -0.5172}","[-0.0103, 0.0105, 0.0075]"
MELANIA_USDT,0.001,3,0.16313,987,0.613,0.612,0.613,22183076,1347512.573,43851385,0.593,0.624,0.0098,0.006,0.612,0.612,-0.000267,0.918,0.306,1743334332552,"{'zone': 'UTC+8', 'r': 0.0098, 'v': 0.006, 'r7': -0.1414, 'r30': -0.2929}","[-0.0016, 0.0065, 0.0098]"
XAI_USDT,0.0001,4,0.16367,524,0.0611,0.061,0.0611,3155883,1905722.7,2205197,0.0586,0.0626,-0.0016,-0.0001,0.061,0.061,5e-05,0.0732,0.0488,1743334332524,"{'zone': 'UTC+8', 'r': -0.0016, 'v': -0.0001, 'r7': -0.0974, 'r30': -0.315, 'r90': -0.7407, 'r180': -0.7367, 'r365': -0.9499}","[0, 0.0234, -0.0016]"
BAN_USDT,0.0001,4,0.16694,774,0.0598,0.0598,0.0599,2443092,1417874.811,1040927,0.0541,0.0611,0.0274,0.0016,0.0598,0.0598,5e-05,0.0717,0.0478,1743334332614,"{'zone': 'UTC+8', 'r': 0.0274, 'v': 0.0016, 'r7': 0.0257, 'r30': -0.0354, 'r90': -0.0164}","[0.0716, 0.0292, 0.0274]"
PENGU_USDT,0.00001,5,0.16835,878,0.00593,0.00593,0.00594,587027487,34368493.9608,26100982,0.00558,0.00612,0.0259,0.00015,0.00593,0.00593,5e-05,0.00711,0.00474,1743334332446,"{'zone': 'UTC+8', 'r': 0.0259, 'v': 0.00015, 'r7': -0.0748, 'r30': -0.2855, 'r90': -0.8228}","[-0.0083, 0.044, 0.0259]"
GOAT_USDT,0.0001,4,0.19084,727,0.0524,0.0523,0.0524,3533800,1816675.426,2767722,0.05,0.0533,0.0155,0.0008,0.0522,0.0522,-9.4e-05,0.0626,0.0417,1743334332563,"{'zone': 'UTC+8', 'r': 0.0155, 'v': 0.0008, 'r7': -0.0965, 'r30': -0.453, 'r90': -0.872}","[0.0174, 0.0135, 0.0155]"
CHILLGUY_USDT,0.0001,4,0.38314,805,0.026,0.026,0.0261,7614789,1961156.289,4757677,0.0252,0.0263,0.0038,0.0001,0.026,0.026,5e-05,0.0312,0.0208,1743334332691,"{'zone': 'UTC+8', 'r': 0.0038, 'v': 0.0001, 'r7': -0.1362, 'r30': -0.2613, 'r90': -0.8385}","[0.0116, 0, 0.0038]"
