symbol,displayName,displayNameEn,positionOpenType,baseCoin,quoteCoin,baseCoinName,quoteCoinName,futureType,settleCoin,contractSize,minLeverage,maxLeverage,countryConfigContractMaxLeverage,priceScale,volScale,amountScale,priceUnit,volUnit,minVol,maxVol,bidLimitPriceRate,askLimitPriceRate,takerFeeRate,makerFeeRate,maintenanceMarginRate,initialMarginRate,riskBaseVol,riskIncrVol,riskLongShortSwitch,riskIncrMmr,riskIncrImr,riskLevelLimit,priceCoefficientVariation,indexOrigin,state,isNew,isHot,isHidden,conceptPlate,conceptPlateId,riskLimitType,maxNumOrders,marketOrderMaxLevel,marketOrderPriceLimitRate1,marketOrderPriceLimitRate2,triggerProtect,appraisal,showAppraisalCountdown,automaticDelivery,apiAllowed,depthStepList,limitMaxVol,threshold,baseCoinIconUrl,id,vid,baseCoinId,createTime,openingTime,openingCountdownOption,showBeforeOpen,isMaxLeverage,isZeroFeeRate,riskLimitMode,isZeroFeeSymbol,riskLimitCustom,deliveryTime,deliveryPriceTrend
ATOM_USDT,ATOM_USDT永续,ATOM_USDT PERPETUAL,3,ATOM,USDT,ATOM,USDT,1,USDT,0.1,1,200,0,3,0,4,0.001,1,1,1700000,0.2,0.2,0.0,0,0.004,0.005,1700000,1700000,0,0.056,0.095,1,0.2,"['BITGET', 'BYBIT', 'BINANCE', 'MEXC', 'KUCOIN']",0,False,False,False,['mc-trade-zone-0fees'],[45],BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.001', '0.01', '0.1', '1']",1700000,0,https://public.mocortech.com/coin/F20210422152708808YYoHfLQImXFIhn.png,19,128f589271cb4951b03e71e6323eb7be,8230684e20094b5395cb649448e9851a,1592820787000,0,1,True,False,True,INCREASE,True,,,
AVAX_USDT,AVAX_USDT永续,AVAX_USDT PERPETUAL,3,AVAX,USDT,AVAX,USDT,1,USDT,0.1,1,200,0,3,0,4,0.001,1,1,640000,0.2,0.2,0.0,0,0.004,0.005,640000,640000,0,0.056,0.095,1,0.2,"['BITGET', 'BYBIT', 'BINANCE', 'HTX', 'OKX', 'MEXC', 'KUCOIN']",0,False,False,False,[],[],BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.001', '0.01', '0.1', '1']",640000,0,https://public.mocortech.com/coin/F202502261821125235pbkvxHpfbOElb.jpg,49,128f589271cb4951b03e71e6323eb7be,758f878fcbf44e68806419920f71173c,1600772156000,0,1,True,False,True,INCREASE,True,,,
BAN_USDT,BAN_USDT永续,BAN_USDT PERPETUAL,3,BAN,USDT,BAN,USDT,1,USDT,10.0,1,20,0,4,0,4,0.0001,1,1,92000,0.2,0.2,0.0,0,0.005,0.05,92000,92000,0,0.005,0.005,1,0.2,"['BITGET', 'BYBIT', 'HTX', 'MEXC', 'KUCOIN']",0,False,False,False,"['mc-trade-zone-0fees', 'mc-trade-zone-MEME']","[45, 29]",BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.0001', '0.001']",92000,0,https://public.mocortech.com/coin/F20241027193544938kKqrcbyPi0qd2j.png,774,128f589271cb4951b03e71e6323eb7be,7a45612852e34990b00c67317bb618f1,1731553657000,1731554400000,1,True,False,True,INCREASE,True,,,
BEAMX_USDT,BEAMX_USDT永续,BEAMX_USDT PERPETUAL,3,BEAMX,USDT,BEAMX,USDT,1,USDT,1000.0,1,75,0,6,0,4,1e-06,1,1,25000,0.2,0.2,0.0,0,0.004,0.0133,25000,25000,0,0.004,0.004,1,0.2,"['BINANCE', 'GATEIO', 'MEXC']",0,False,False,False,['mc-trade-zone-0fees'],[45],BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.000001', '0.00001']",25000,0,https://public.mocortech.com/coin/F202311171156155741YFRj7sg9l91Fv.png,495,128f589271cb4951b03e71e6323eb7be,c0e519ecaaa140338012aff97ab20585,1700450026000,0,1,True,False,True,INCREASE,True,,,
BOME_USDT,BOME_USDT永续,BOME_USDT PERPETUAL,3,BOME,USDT,BOME,USDT,1,USDT,1000.0,1,200,0,6,0,4,1e-06,1,1,380000,0.2,0.2,0.0,0,0.004,0.005,380000,380000,0,0.056,0.095,1,0.2,"['BITGET', 'BYBIT', 'BINANCE', 'HTX', 'MEXC', 'KUCOIN']",0,False,False,False,"['mc-trade-zone-0fees', 'mc-trade-zone-SOL']","[45, 37]",BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.000001', '0.00001']",380000,0,https://public.mocortech.com/coin/F202403142229386115acvSAzpuAW17y.jpg,552,128f589271cb4951b03e71e6323eb7be,0488635ed670415592edf4021857c05e,1710501643000,0,1,True,False,True,INCREASE,True,,,
BRETT_USDT,BRETT_USDT永续,BRETT_USDT PERPETUAL,3,BRETT,USDT,BRETT,USDT,1,USDT,100.0,1,200,0,5,0,4,1e-05,1,1,56000,0.2,0.2,0.0,0,0.004,0.005,56000,56000,0,0.056,0.095,1,0.2,"['BITGET', 'BYBIT', 'KUCOIN']",0,False,False,False,[],[],BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.00001', '0.0001']",56000,0,https://public.mocortech.com/coin/F20240426215324031sCg6KGPMeWP3cl.png,575,128f589271cb4951b03e71e6323eb7be,,1714138305000,0,1,True,False,True,INCREASE,True,,,
CAKE_USDT,CAKE_USDT永续,CAKE_USDT PERPETUAL,3,CAKE,USDT,CAKE,USDT,1,USDT,1.0,1,125,0,4,0,4,0.0001,1,1,76000,0.2,0.2,0.0,0,0.004,0.008,76000,76000,0,0.056,0.092,1,0.2,"['BITGET', 'BINANCE', 'MEXC', 'KUCOIN']",0,False,False,False,['mc-trade-zone-0fees'],[45],BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.0001', '0.001']",76000,0,https://public.mocortech.com/coin/F20231103111027058OTf0gyfvRmNNXF.jpg,393,128f589271cb4951b03e71e6323eb7be,4fb9a0d3cd3c4c2e9d3bfc0d51a6dbd6,1682482377000,0,1,True,False,True,INCREASE,True,,,
CHILLGUY_USDT,CHILLGUY_USDT永续,CHILLGUY_USDT PERPETUAL,3,CHILLGUY,USDT,CHILLGUY,USDT,1,USDT,10.0,1,100,0,4,0,4,0.0001,1,1,300000,0.2,0.2,0.0,0,0.005,0.01,300000,300000,0,0.005,0.005,1,0.2,['MEXC'],0,False,False,False,"['mc-trade-zone-0fees', 'mc-trade-zone-MEME']","[45, 29]",BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.0001', '0.001']",300000,0,https://public.mocortech.com/coin/F20241120115831543jV52nvAcVoWB9r.png,805,128f589271cb4951b03e71e6323eb7be,0bcd745ed0c44a77bc6c6c891318cace,1732184010000,1732184735000,1,True,False,True,INCREASE,True,,,
CKB_USDT,CKB_USDT永续,CKB_USDT PERPETUAL,3,CKB,USDT,CKB,USDT,1,USDT,1000.0,1,125,0,6,0,4,1e-06,1,1,32000,0.2,0.2,0.0,0,0.004,0.008,32000,32000,0,0.056,0.092,1,0.2,"['BINANCE', 'MEXC', 'KUCOIN']",0,False,False,False,['mc-trade-zone-0fees'],[45],BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.000001', '0.00001']",32000,0,https://public.mocortech.com/coin/F20210422153945329xUxVQWqCEk1wey.png,340,128f589271cb4951b03e71e6323eb7be,5c1058a534dd42748b95f1729ff0c451,1679366932000,0,1,True,False,True,INCREASE,True,,,
CRV_USDT,CRV_USDT永续,CRV_USDT PERPETUAL,3,CRV,USDT,CRV,USDT,1,USDT,0.1,1,125,0,4,0,4,0.0001,1,1,15000000,0.2,0.2,0.0,0,0.004,0.008,15000000,15000000,0,0.056,0.092,1,0.2,"['BITGET', 'BYBIT', 'BINANCE', 'HTX', 'OKX', 'MEXC']",0,False,False,False,"['mc-trade-zone-0fees', 'mc-trade-zone-Arbitrum']","[45, 24]",BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.0001', '0.001', '0.01']",15000000,0,https://public.mocortech.com/coin/F20210419144944352SIqgYFxyF9jI02.png,37,128f589271cb4951b03e71e6323eb7be,bb0e43cee308404abc14e2741bcfad74,1599550096000,0,1,True,False,True,INCREASE,True,,,
DOGE_USDT,DOGE_USDT永续,DOGE_USDT PERPETUAL,3,DOGE,USDT,DOGE,USDT,1,USDT,100.0,1,200,0,5,0,4,1e-05,1,1,200000,0.2,0.2,0.0,0,0.004,0.005,200000,200000,0,0.056,0.095,1,0.2,"['BITGET', 'BYBIT', 'BINANCE', 'OKX', 'MEXC', 'KUCOIN']",0,False,False,False,"['mc-trade-zone-0fees', 'mc-trade-zone-MEME']","[45, 29]",BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.00001', '0.0001', '0.001', '0.01']",200000,0,https://public.mocortech.com/coin/F20230701185052663aGiNzu1AGTZxgU.png,68,128f589271cb4951b03e71e6323eb7be,a1001412a8d34b59b4d25dcce9e217d2,1603683981000,0,1,True,False,True,INCREASE,True,,,
DOGS_USDT,DOGS_USDT永续,DOGS_USDT PERPETUAL,3,DOGS,USDT,DOGS,USDT,1,USDT,100.0,1,200,0,7,0,4,1e-07,1,1,35000000,0.2,0.2,0.0,0,0.004,0.005,35000000,35000000,0,0.004,0.004,1,0.2,"['BITGET', 'BYBIT', 'BINANCE', 'OKX', 'MEXC', 'KUCOIN']",0,False,False,False,"['mc-trade-zone-0fees', 'mc-trade-zone-MEME']","[45, 29]",BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.0000001', '0.000001']",35000000,0,https://public.mocortech.com/coin/F20240821124546034yGlOeQz8DaL0Gw.jpg,674,128f589271cb4951b03e71e6323eb7be,5aac2a55fdbb4f06a02b45b45abaa9bb,1724671579000,0,1,True,False,True,INCREASE,True,,,
DOG_USDT,DOG_USDT永续,DOG_USDT PERPETUAL,3,DOG,USDT,DOG,USDT,1,USDT,1000.0,1,50,0,6,0,4,1e-06,1,1,24000,0.2,0.2,0.0,0,0.01,0.02,24000,24000,0,0.05,0.08,1,0.2,"['BITGET', 'GATEIO', 'MEXC']",0,False,False,False,"['mc-trade-zone-0fees', 'mc-trade-zone-MEME']","[45, 29]",BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.000001', '0.00001']",24000,0,https://public.mocortech.com/coin/F20240621114620560eToYuLSrguTs93.png,620,128f589271cb4951b03e71e6323eb7be,39471c109f444f9d97050139e250d2ed,1721806494000,0,1,True,False,True,INCREASE,True,,,
DOT_USDT,DOT_USDT永续,DOT_USDT PERPETUAL,3,DOT,USDT,DOT,USDT,1,USDT,0.1,1,200,0,3,0,4,0.001,1,1,1700000,0.1,0.1,0.0,0,0.004,0.005,1700000,1700000,0,0.056,0.095,1,0.2,"['BYBIT', 'BINANCE', 'OKX', 'MEXC']",0,False,False,False,['mc-trade-zone-web3'],[19],BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.001', '0.01', '0.1', '1']",1700000,0,https://public.mocortech.com/coin/F20231024115432640hJy0QnKX48a7EF.png,33,128f589271cb4951b03e71e6323eb7be,79e97f2f3c3e400eadeb5d5ed51c60b5,1598502591000,0,1,True,False,True,INCREASE,True,,,
