symbol,displayName,displayNameEn,positionOpenType,baseCoin,quoteCoin,baseCoinName,quoteCoinName,futureType,settleCoin,contractSize,minLeverage,maxLeverage,countryConfigContractMaxLeverage,priceScale,volScale,amountScale,priceUnit,volUnit,minVol,maxVol,bidLimitPriceRate,askLimitPriceRate,takerFeeRate,makerFeeRate,maintenanceMarginRate,initialMarginRate,riskBaseVol,riskIncrVol,riskLongShortSwitch,riskIncrMmr,riskIncrImr,riskLevelLimit,priceCoefficientVariation,indexOrigin,state,isNew,isHot,isHidden,conceptPlate,conceptPlateId,riskLimitType,maxNumOrders,marketOrderMaxLevel,marketOrderPriceLimitRate1,marketOrderPriceLimitRate2,triggerProtect,appraisal,showAppraisalCountdown,automaticDelivery,apiAllowed,depthStepList,limitMaxVol,threshold,baseCoinIconUrl,id,vid,baseCoinId,createTime,openingTime,openingCountdownOption,showBeforeOpen,isMaxLeverage,isZeroFeeRate,riskLimitMode,isZeroFeeSymbol,riskLimitCustom,deliveryTime,deliveryPriceTrend
BTC_USDC,BTC_USDC永续,BTC_USDC PERPETUAL,3,BTC,USDC,BTC,USDC,1,USDC,0.0001,1,125,0,1,0,4,0.1,1,1,110000,0.2,0.2,0.0004,0,0.004,0.008,110000,110000,0,0.004,0.004,1,0.2,['BITGET' 'BYBIT' 'BINANCE' 'OKX' 'MEXC' 'KUCOIN'],0,True,False,False,['mc-trade-zone-contract-new'],[-1],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.1' '1' '10' '100'],110000,0,https://public.mocortech.com/coin/F20210514192151938ROhGjOFp2Fpgb7.png,1104,34309140878b4ae99f195ac091d49bab,febc9973be4d4d53bb374476239eb219,1742798201000,1742802420000,1,True,False,False,INCREASE,False,,,
XVS_USDT,XVS_USDT永续,XVS_USDT PERPETUAL,3,XVS,USDT,XVS,USDT,1,USDT,1.0,1,125,0,3,0,4,0.001,1,1,1000,0.2,0.2,0.0002,0,0.004,0.008,1000,1000,0,0.004,0.004,1,0.2,['BINANCE' 'GATEIO' 'MEXC'],0,False,False,False,[],[],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.001' '0.01'],1000,0,https://public.mocortech.com/coin/F20230701210905940J46hGjc0EHMQZi.png,376,128f589271cb4951b03e71e6323eb7be,419b2c215f7c4e1d9807a381f0d83e3b,1681278877000,0,1,True,False,False,INCREASE,False,,,
1000000BABYDOGE_USDT,1000000BABYDOGE_USDT永续,1000000BABYDOGE_USDT PERPETUAL,3,1000000BABYDOGE,USDT,1000000BABYDOGE,USDT,1,USDT,1000.0,1,50,0,6,0,4,1e-06,1,1,200000,0.2,0.2,0.0002,0,0.01,0.02,200000,200000,0,0.05,0.08,1,0.2,['BITGET' 'BYBIT' 'HTX' 'OKX' 'MEXC' 'KUCOIN'],0,False,False,False,['mc-trade-zone-MEME'],[29],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.000001' '0.00001'],200000,0,https://public.mocortech.com/coin/F20230701182412794qhzmMJMuZKE12U.png,624,128f589271cb4951b03e71e6323eb7be,,1721892656000,0,1,True,False,False,INCREASE,False,,,
BUTTHOLE_USDT,BUTTHOLE_USDT永续,BUTTHOLE_USDT PERPETUAL,3,BUTTHOLE,USDT,BUTTHOLE,USDT,1,USDT,10.0,1,50,0,5,0,4,1e-05,1,1,37000,0.2,0.2,0.0002,0,0.01,0.02,37000,37000,0,0.005,0.005,1,0.05,['MEXC'],0,False,False,False,[],[],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.00001' '0.0001'],37000,0,https://public.mocortech.com/coin/F20241230144746234UgF2WA7yZ6t0o9.png,907,128f589271cb4951b03e71e6323eb7be,42a7dd28d55744eeb95d00f923d1ed15,1736133984000,1736134380000,1,False,False,False,INCREASE,False,,,
AXS_USDT,AXS_USDT永续,AXS_USDT PERPETUAL,3,AXS,USDT,AXS,USDT,1,USDT,1.0,1,200,0,3,0,4,0.001,1,1,200000,0.2,0.2,0.0002,0,0.004,0.005,200000,200000,0,0.056,0.095,1,0.2,['BITGET' 'BYBIT' 'BINANCE' 'OKX' 'MEXC' 'KUCOIN'],0,False,False,False,['mc-trade-zone-metaverse' 'mc-trade-zone-nft'],[18  3],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.001' '0.01' '0.1'],200000,0,https://public.mocortech.com/coin/F20230915121823841EX1XiomCURpPgJ.png,72,128f589271cb4951b03e71e6323eb7be,f28d849229c9446da036a9d1038552df,1605855936000,0,1,True,False,False,INCREASE,False,,,
GMX_USDT,GMX_USDT永续,GMX_USDT PERPETUAL,3,GMX,USDT,GMX,USDT,1,USDT,0.1,1,200,0,2,0,4,0.01,1,1,120000,0.2,0.2,0.0002,0,0.004,0.005,120000,120000,0,0.004,0.004,1,0.2,['BITGET' 'BYBIT' 'BINANCE' 'MEXC'],0,False,False,False,['mc-trade-zone-Arbitrum'],[24],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.01' '0.1' '1'],120000,0,https://public.mocortech.com/coin/F20220506165710674G23aUasmi1bPd3.png,300,128f589271cb4951b03e71e6323eb7be,90e2292d95814e76984596ff5be05603,1664960437000,0,1,True,False,False,INCREASE,False,,,
1000MUMU_USDT,1000MUMU_USDT永续,1000MUMU_USDT PERPETUAL,3,1000MUMU,USDT,1000MUMU,USDT,1,USDT,100.0,1,100,0,6,0,4,1e-06,1,1,50000,0.2,0.2,0.0002,0,0.005,0.01,50000,50000,0,0.005,0.005,1,0.2,['MEXC'],0,False,False,False,['mc-trade-zone-MEME'],[29],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.000001' '0.00001'],50000,0,https://public.mocortech.com/coin/F20240316185425551IZ8TR0MclaTOlB.png,693,128f589271cb4951b03e71e6323eb7be,,1727089949000,0,1,True,False,False,INCREASE,False,,,
CETUS_USDT,CETUS_USDT永续,CETUS_USDT PERPETUAL,3,CETUS,USDT,CETUS,USDT,1,USDT,10.0,1,100,0,5,0,4,1e-05,1,1,48000,0.2,0.2,0.0002,0,0.005,0.01,48000,48000,0,0.005,0.005,1,0.2,['BITGET' 'OKX' 'MEXC' 'KUCOIN'],0,False,False,False,[],[],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.00001'],48000,0,https://public.mocortech.com/coin/F20230701184136546LDLBRfrnVxnmgn.png,412,128f589271cb4951b03e71e6323eb7be,ab303ef5805b4017a0bdd4912c4469a1,1683793241000,0,1,True,False,False,INCREASE,False,,,
PAAL_USDT,PAAL_USDT永续,PAAL_USDT PERPETUAL,3,PAAL,USDT,PAAL,USDT,1,USDT,10.0,1,100,0,4,0,4,0.0001,1,1,3000,0.2,0.2,0.0002,0,0.005,0.01,3000,3000,0,0.005,0.005,1,0.05,['MEXC'],0,False,False,False,[],[],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.0001' '0.001'],3000,0,https://public.mocortech.com/coin/F20240914124347375lMVrnMJOlVARVl.jpg,761,128f589271cb4951b03e71e6323eb7be,b8a7e228f2264ecd8362191cb8f34502,1731292270000,1731293580000,1,True,False,False,INCREASE,False,,,
LPT_USDT,LPT_USDT永续,LPT_USDT PERPETUAL,3,LPT,USDT,LPT,USDT,1,USDT,0.1,1,75,0,3,0,4,0.001,1,1,400000,0.2,0.2,0.0002,0,0.004,0.0133,400000,400000,0,0.056,0.0866,1,0.2,['BITGET' 'BINANCE' 'OKX' 'MEXC' 'KUCOIN'],0,False,False,False,['mc-trade-zone-Arbitrum' 'mc-trade-zone-web3'],[24 19],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.001' '0.01' '0.1'],400000,0,https://public.mocortech.com/coin/F20210517142748126OQ93BaFod1uQv4.png,181,128f589271cb4951b03e71e6323eb7be,32ba1e6f6caf4845b1a68dbe57f52c80,1636517663000,0,1,True,False,False,INCREASE,False,,,
